reviewText,sentiment,compound
poor packing slow delivwry 1 pecs arrive in damage. chat responve is 0. not good seller.,Negative,-1
"yesto 3rd class purai glue tasseko xa, kherai gayo, worst experience 🤮🤬",Negative,-1
nice serving and helping with best delivery,Positive,1
Good,Positive,1
"1, fast delivery in the same day
2, Resonabme Price
3, High quality Product
4, Exat size and quantity",Positive,1
"1, fast delivery in the same day
2, Resonabme Price
3, High quality Product
4, Exat size and quantity",Positive,1
"k khalko ho sabai aafai aafai tassera baseko xa, 1 pkt ma 4-5 ota ta khera nai gayo, worst experience ever😡😡 ",Negative,-1
"10× 8 magayesi 10×8 nai pathauna sakinnah ho?? 
Tme haru le chai j saman pathayene hune hamlai chai fine lagne😑 ",Neutral,0
"k taal ko quality ho daraz ko chai, seller lai fine lagaune commission increase garne, aafno quality chai maintain garnu pardaina?? ",Positive,1
bekar quality x plastic ko ..aani fatako nai kati niskyo ....😡😡 ,Neutral,0
instant delivery and delivery person is so kind 😍 ,Positive,1
nice flyers but their quality should be change ,Positive,1
Good and understanding driver ,Positive,1
It’s great timing  ,Positive,1
"As shown.  Good
 ",Positive,1
slow delivery  ,Neutral,0
Good quality  ,Positive,1
"nic product
 ",Neutral,0
"Execellent
 ",Neutral,0
Great  ,Positive,1
ok ,Neutral,0
good  ,Positive,1
good ,Positive,1
good  ,Positive,1
abcd ,Neutral,0
awesome ,Positive,1
good ,Positive,1
nice  ,Positive,1
Packaging material rate badi vayo ,Neutral,0
ekdam ramro lagyo😁😁 ,Neutral,0
They sent us damaged packing material. Had ordered (25*4) 100 pieces of these in which none of these have glue in these circled areas. We are now forced to use external tape to seal our orders. What a waste of time and money. Will never buy from here again. DARAZ SHOULD BOYCOTT SUCH SCAMMERS.,Negative,-1
Good Quality  ,Positive,1
good  ,Positive,1
Good ,Positive,1
Nice quality ,Positive,1
Nice quality ,Positive,1
nice,Positive,1
Good delivery service ,Positive,1
reasonable ,Neutral,0
thikai chha but sometimes 25 ko satta 22 ayera chai hairan vaincha. check garirakhnu parchha,Neutral,0
"Got in The time
all Flyers are in good condition,
The quantity and qulaity is perfect.",Positive,1
expensive 1 flyers cost 4.8 rupees,Neutral,0
good ,Positive,1
"not a single defected piece. good
#review_wrapup",Positive,1
"not a single defected piece. good
#review_wrapup",Positive,1
"not a single defected piece. good
#review_wrapup",Positive,1
"not a single defected piece. good
#review_wrapup",Positive,1
Good,Positive,1
Nice but I think it is little bit overpriced.,Positive,1
Good,Positive,1
excellent 👍👍👍👍,Positive,1
good,Positive,1
Same as shown and great service. ,Positive,1
"thikai xa 
#review wrapup ",Neutral,0
"good
#review_wrapup",Positive,1
"good
#review_wrapup",Positive,1
must maintain the product quality ,Positive,1
"very fast delivery 
 thank you so much ",Positive,1
"very good  quality, fast delivery, reasonable price",Positive,1
"very Fast shipping, good quality and resonable price.",Positive,1
"very Fast shipping, good quality and resonable price.",Positive,1
good,Positive,1
Express delivery Thanks a lot 😊😊,Positive,1
125 pcs and every single piece is damaged ,Positive,1
Good ,Positive,1
"Ekdamai Low quality ko pathayeko cha . Haina Daraz kina chup lagera basiraheko cha yesto low quality ko saman pathaune seller lai kina action lidaina ?
please Daraz paisa tirepachi ramro saman pathuna vannu. ",Negative,-1
It is request to all the sellers to carefully check your packaging material after you receive them. Ordered 10x12 but sent me 12x16 instead. ,Positive,1
Lower quality of materials and also received 5 pcs less. Please refund remaining amount or send 5 missing pcs.,Negative,-1
"Too expensive in every aspect for seller. packing material becomes double expensive, commission are high for sellers. Disappointed Not happy working with daraz☹️☹️😩",Negative,-1
low quality customer Is complaining to us about our packaging please change the material taking high rate and giving low quality is it fair ,Negative,-1
twpai haru ko price magago vayo . packing mahago vayepaxi saman ko ni vau badaunu paryo ani kasai garne byapar chai hajur ,Neutral,0
they send me less than I order ,Neutral,0
thanks 😊 ,Positive,1
good job,Positive,1
good job,Positive,1
